Alignment,Quality,Program
test4,104,local_search.py
test7,185,local_search.py
test3,104,local_search.py
test2,68,local_search.py
test,66,local_search.py
test6,66,local_search.py
test5,140,local_search.py
test4,71,simulated_annealing.py
test7,150,simulated_annealing.py
test3,71,simulated_annealing.py
test2,18,simulated_annealing.py
test,15,simulated_annealing.py
test6,15,simulated_annealing.py
test5,72,simulated_annealing.py
test4,116,tabu_search.py
test7,188,tabu_search.py
test3,116,tabu_search.py
test2,63,tabu_search.py
test,65,tabu_search.py
test6,65,tabu_search.py
test5,131,tabu_search.py
